Concurrent Viewers,Likes,Dislikes,Total Viewers,Subscriptions Driven,Shares,Timestamp,Quality,,,,Device,,,,,Anticpation/Popularity,Category,,,Region,,,,SourceRegion
a,a,a,a,a,a,a,240p,360,720,1080p,Laptops/Desktop,Android,iPhone,Xbox,Playstation,,News,Sports,Entertainment,Tokyo,Australia,London,America,g
3497,531,68,10/6/2014 15:59,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3498,531,68,10/6/2014 16:00,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,1
3513,531,68,10/6/2014 16:00,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,1
3505,531,68,10/6/2014 16:01,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,1
3485,531,68,10/6/2014 16:01,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,1
3475,531,67,10/6/2014 16:02,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,1
3480,531,67,10/6/2014 16:02,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,1
3464,531,67,10/6/2014 16:03,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,1
3446,532,67,10/6/2014 16:03,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,1
3446,532,67,10/6/2014 16:04,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,1
